Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Offer
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,NaN
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,NaN
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,NaN
4,2023-05-21,CUST004,Male,37,Clothing,1,500,NaN,NaN
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,NaN
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,NaN
7,2023-03-13,CUST007,Male,NaN,Clothing,NaN,25,50,NaN
8,2023-02-22,CUST008,Male,30,Electronics,4,NaN,100,NaN
9,2023-12-13,CUST009,Male,63,NaN,2,300,600,NaN
10,2023-10-07,CUST010,Female,52,Clothing,4,50,NaN,NaN
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,NaN
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,NaN
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,NaN
14,2023-01-17,CUST014,Male,64,Clothing,4,NaN,120,NaN
15,2023-01-16,CUST015,Female,NaN,Electronics,4,500,2000,NaN
16,2023-02-17,CUST016,Male,19,Clothing,NaN,500,1500,NaN
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,NaN
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,NaN
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,NaN
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,NaN
21,2023-01-14,CUST021,Female,50,Beauty,1,500,NaN,NaN
22,2023-10-15,CUST022,Male,NaN,Clothing,2,50,100,NaN
23,2023-04-12,CUST023,Female,35,NaN,4,NaN,120,NaN
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,NaN
23,2023-04-12,CUST023,Female,35,NaN,4,NaN,120,NaN
